sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
108982,Eichholtz Palmer Console Table,EICHHOLTZ,Tables > Console Tables,3975,25%,2981.25,"Polished stainless steel | smoke glass

62.99"" x 17.72"" x 29.92"" H

Relive the unmatched grandeur of the Art Deco era with the first-rate Palmer Console Table. Crafted from stainless steel, it features a polished finish and a tempered smoke glass tabletop. Combine with luxury lighting and accessories of the Eichholtz collection for a glamorous interior.","108982-1, 108982-2, 108982-3, 108982-4",62.99,17.72,29.92
109993,Eichholtz Palmer Console Table,EICHHOLTZ,Tables > Console Tables,4215,25%,3161.25,"Gold finish | black glass

62.99"" x 17.72"" x 29.92"" H

Relive the unmatched grandeur of the Art Deco era with the first-rate Palmer Console Table. Crafted from stainless steel, it features a glossy gold finish and a tempered black glass tabletop.

FABULOUS ART DECO SUCCESSOR
Relive the unmatched grandeur of the Art Deco era with the Eichholtz Palmer series. Each element is an eye catcher, handcrafted with meticulous care by skilled artisans. Combine with luxury lighting and accessories of the Eichholtz collection for a glamorous interior.","109993-1, 109993-2, 109993-3",62.99,17.72,29.92
111461,Eichholtz Quercus Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,7245,25%,5433.75,"Brass finish | black legs

26.38"" dia x 15.75"" H | 13.78""H | 11.42"" H

The structure of wood grains grant a unique appearance to the set of 3 Quercus Coffee Tables. Featuring wooden table tops with a bronze finish, these distinctive coffee tables are suitable for a variety of interior styles and colour schemes. The tables vary in height and feature black legs.","111461-1, 111461-2, 111461-3, 111461-4, 111461-5, 111461-6, 111461-7",26.38,26.38,15.75
111463,Eichholtz Westchester Side Table,EICHHOLTZ,Tables > End Tables,2430,25%,1822.5,"Gold finish | portoro marble

19.69"" dia x 22.44"" H

Conjure up a natural atmosphere in your home with the Westchester side table. Featuring a gold finished faux tree branch base and a round black marble tabletop, this stunning accent table will be an eye-catcher in your interior.","111463-1, 111463-2, 111463-3, 111463-4, 111463-5",19.69,19.69,22.44
111080,Eichholtz Salvatore L Column,EICHHOLTZ,Accessories > Pedestals ,1380,25%,1035,"Waxed black finish

12.99"" x 12.99"" x 47.24"" H

The black wooden finish Salvatore L Column with decorative panelling offers a contemporary take on timeless style. Bevelled edges give this entrancing presentation column an extra edge.

TALL AND STATELY
Available in a number of sizes, the wonderful wooden finish Salvatore Columns are perfect for floral displays or other ornamental items. A wonderful addition to the hallway, living area or dining room of the home.","111080-1, 111080-2, 111080-3, 111080-4",12.99,12.99,47.24
111079,Eichholtz Salvatore M Column,EICHHOLTZ,Accessories > Pedestals ,1245,25%,933.75,"White finish

12.99"" x 12.99"" x 39.37"" H

The white wooden finish Salvatore M Column with decorative panelling offers a contemporary take on timeless style. Bevelled edges give this entrancing presentation column an extra edge.

TALL AND STATELY
Available in a number of sizes, the wonderful wooden finish Salvatore Columns are perfect for floral displays or other ornamental items. A wonderful addition to the hallway, living area or dining room of the home.","111079-1, 111079-2, 111079-3, 111079-4",12.99,12.99,39.37
111078,Eichholtz Salvatore M Column,EICHHOLTZ,Accessories > Pedestals ,1245,25%,933.75,"Waxed black finish

12.99"" x 12.99"" x 39.37"" H

The black wooden finish Salvatore M Column with decorative panelling offers a contemporary take on timeless style. Bevelled edges give this entrancing presentation column an extra edge.

TALL AND STATELY
Available in a number of sizes, the wonderful wooden finish Salvatore Columns are perfect for floral displays or other ornamental items. A wonderful addition to the hallway, living area or dining room of the home.","111078-1, 111078-2, 111078-3, 111078-4",12.99,12.99,39.37
111077,Eichholtz Salvatore S Column,EICHHOLTZ,Accessories > Pedestals ,1155,25%,866.25,"Waxed black finish

12.99"" x 12.99"" x 31.5"" H

The black wooden finish Salvatore S Column with decorative panelling offers a contemporary take on timeless style. Bevelled edges give this entrancing presentation column an extra edge.

TALL AND STATELY
Available in a number of sizes, the wonderful wooden finish Salvatore Columns are perfect for floral displays or other ornamental items. A wonderful addition to the hallway, living area or dining room of the home.","111077-1, 111077-2, 111077-3, 111077-4",12.99,12.99,31.5
111081,Eichholtz Salvatore L Column,EICHHOLTZ,Accessories > Pedestals ,1380,25%,1035,"White finish

12.99"" x 12.99"" x 47.24"" H

The white wooden finish Salvatore L Column with decorative panelling offers a contemporary take on timeless style. Bevelled edges give this entrancing presentation column an extra edge.

TALL AND STATELY
Available in a number of sizes, the wonderful wooden finish Salvatore Columns are perfect for floral displays or other ornamental items. A wonderful addition to the hallway, living area or dining room of the home.","111081-1, 111081-2, 111081-3, 111081-4",12.99,12.99,47.24
111678,Eichholtz Marceau Column,EICHHOLTZ,Accessories > Pedestals ,2145,25%,1608.75,"Piano white finish

17.32"" x 17.32"" x 40.55"" H

With its classic design, the Marceau Column will be a stylish and elegant addition to your interior. Featuring four panelled sides and a white finish, this decorative column will look great in your hallway, living area or dining room.","111678-1, 111678-2, 111678-3, 111678-4, 111678-5, 111678-6",17.32,17.32,40.55
